model,name,missing_type,rho,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,0.2,0.0010128021240234375,-0.0010302197802197766,-0.0011327613040181816,-1.087784767150879e-06,0.5876284241676331,0.5876273363828659
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,0.3,0.0016366392374038696,-0.002060439560439553,-0.002056620437014156,-9.626150131225586e-06,0.5882522612810135,0.5882426351308823
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,0.5,0.0032440274953842163,-0.005494505494505475,-0.004837669188180904,-3.819167613983154e-05,0.5898596495389938,0.589821457862854
ens_top2,MRF-Net（B：42+43 集成，提交模型）,audio+vision,1.0,0.007136225700378418,-0.009615384615384581,-0.006786974083951125,-0.00021076202392578125,0.593751847743988,0.5935410857200623
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,0.1,-0.0015673190355300903,-0.009271978021978017,-0.008910260004260928,4.1484832763671875e-05,0.5850483030080795,0.5850897878408432
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,0.2,-0.0016004890203475952,-0.01510989010989014,-0.013893483987636096,0.00017958879470825195,0.585015133023262,0.5851947218179703
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,0.3,0.0037537217140197754,-0.02644230769230771,-0.024543869295724247,0.0005497932434082031,0.5903693437576294,0.5909191370010376
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,0.5,0.0314214825630188,-0.0525412087912088,-0.048335570907473036,0.0018822252750396729,0.6180371046066284,0.6199193298816681
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text,1.0,0.18039119243621826,-0.2733516483516484,-0.3038244015585562,0.003782033920288086,0.7670068144798279,0.770788848400116
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,0.1,-0.0029036998748779297,-0.007554945054945028,-0.007471798318170214,2.6881694793701172e-05,0.5837119221687317,0.5837388038635254
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,0.2,-0.001056283712387085,-0.016483516483516508,-0.015329897635665113,0.0001440197229385376,0.5855593383312225,0.5857033580541611
