split,order_by,coverage,n,mae,acc,f1
test,oracle_acc,0.05,36,0.3709736466407776,1.0,1.0
test,oracle_acc,0.1,73,0.43575912714004517,1.0,1.0
test,oracle_acc,0.15,109,0.4839981496334076,1.0,1.0
test,oracle_acc,0.2,145,0.4652845859527588,1.0,1.0
test,oracle_acc,0.25,182,0.45427635312080383,1.0,1.0
test,oracle_acc,0.3,218,0.44947004318237305,1.0,1.0
test,oracle_acc,0.35,254,0.45658692717552185,1.0,1.0
test,oracle_acc,0.4,291,0.45524004101753235,1.0,1.0
test,oracle_acc,0.45,327,0.4798775315284729,1.0,1.0
test,oracle_acc,0.5,364,0.4791944622993469,1.0,1.0
test,oracle_acc,0.55,400,0.49073031544685364,1.0,1.0
test,oracle_acc,0.6,436,0.49733737111091614,1.0,1.0
test,oracle_acc,0.65,473,0.49617233872413635,1.0,1.0
test,oracle_acc,0.7,509,0.5083913207054138,0.9332023575638507,0.9216756066411239
test,oracle_acc,0.75,545,0.5227634310722351,0.8715596330275229,0.8537960976091371
test,oracle_acc,0.8,582,0.5558119416236877,0.8161512027491409,0.7944808798885238
test,oracle_acc,0.85,618,0.5847080945968628,0.7686084142394822,0.7464528725471556
test,oracle_acc,0.9,654,0.6020755767822266,0.7262996941896025,0.7046675440704484
test,oracle_acc,0.95,691,0.6166669726371765,0.6874095513748191,0.6658713363915676
test,oracle_acc,1.0,727,0.6216421723365784,0.6533700137551581,0.6337769922081339
